"fid","CAT_LU","PA","PA_norm","FR.analysis.5_NP","FR.analysis.5_FR","Fragmentation","proximity.analysis.5_PI","Proximity","LC_EVAPO_Evapotranspirating","LC_analysis_ET_score","ET_score_2","SuitKey2","compat_key","unique_compat_Compatibility","Suitability.matrix_2_PLU"
1485,"Woods and shrubs",0.665930743777601,0.0224688905202956,11,1.228,2,0.149583,"High",99.92,69.4214,"C","Woods and shrubs_C_2_High","Woods and shrubs_Wild spaces_C","true","Wild spaces"
1487,"Farmlands",1.63819421565318,0.0552736254128938,33,1.695,3,0.075714,"High",95.65,58.3162,"C","Farmlands_C_3_High","Farmlands_Urban Gardens_C","false","Urban Gardens"
1493,"Farmlands",0.0421415660495739,0.00142188094297972,11,1.249,2,0.074664,"High",93.45,59.808,"C","Farmlands_C_2_High","Farmlands_Wild spaces_C","false","Wild spaces"
1495,"Farmlands",0.110599583932851,0.00373169427331229,28,1.632,3,0.068178,"High",99.94,58.3762,"C","Farmlands_C_3_High","Farmlands_Urban Gardens_C","false","Urban Gardens"
1502,"Farmlands",0.219947626766749,0.00742116082220013,32,1.72,3,0.080119,"High",99.24,57.7578,"C","Farmlands_C_3_High","Farmlands_Urban Gardens_C","false","Urban Gardens"
1506,"Farmlands",0.4830014574209,0.0162967500289457,27,1.598,3,0.063546,"Low",99.93,57.9606,"C","Farmlands_C_3_Low","Farmlands_Wild spaces_C","false","Wild spaces"
1508,"Farmlands",0.0988987380257182,0.00333690092860075,34,1.77,3,0.097395,"High",76.33,49.6174,"B","Farmlands_B_3_High","Farmlands_Allotment gardens_B","true","Allotment gardens"
1509,"Farmlands",0.256398497871659,0.00865103440872305,33,1.741,3,0.085294,"High",98.01,56.8458,"C","Farmlands_C_3_High","Farmlands_Urban Gardens_C","false","Urban Gardens"
1517,"Farmlands",0.162871821225797,0.00549538995482356,3,1.063,2,0.096738,"High",97.54,64.195,"C","Farmlands_C_2_High","Farmlands_Wild spaces_C","false","Wild spaces"
1520,"Woods and shrubs",1.29371829700163,0.0436508076118209,11,1.206,2,0.087204,"High",94.08,62.5428,"C","Woods and shrubs_C_2_High","Woods and shrubs_Wild spaces_C","true","Wild spaces"
