fid,VEGETATION,CODE_MN,CODE_100,CODE_25,F_FORMAT,F_REGROUP,F_ESSENCE,OBJECTID,SHAPE_AREA,SHAPE_LEN,ID,CAT_LU,PA,PA_norm,Proximity,Fragmentation,ET_score,SuitKey,ET_score_2,SuitKey2,PLU final,compat_key,reassign_key,Final PLU,LC_analysis_ET_score,LC_EVAPO_Evapotranspirating,FR analysis 5_NP,FR analysis 5_FR,proximity analysis 5_PI,Suitability matrix_PLU,Suitability matrix_2_PLU,unique_compat_Compatibility,unique_reassign_reassign
"10666",Urbain diffus,"7","2","4",,,,"415995",7127.34523889,834.005037467774,"13340",Collective spaces,0.689491271250293,0.0232638364171938,High,"3",A,Collective spaces_A_3_High,B,Collective spaces_B_3_High,Allotment gardens,Collective spaces_Allotment gardens_B,Collective spaces_3_High_B_Allotment gardens_true,Allotment gardens,38.1376,59.59,"42",1.932,0.439864,Micro-forest,Allotment gardens,true,
"10672",Urbain diffus,"7","2","4",,,,"415995",7127.34523889,834.005037467774,"13340",Collective spaces,0.59934306540392,0.0202221835325814,High,"3",A,Collective spaces_A_3_High,C,Collective spaces_C_3_High,Urban Gardens,Collective spaces_Urban Gardens_C,Collective spaces_3_High_C_Urban Gardens_true,Urban Gardens,60.64,94.75,"40",1.889,0.479733,Micro-forest,Urban Gardens,true,
"10675",Urbain diffus,"7","2","4",,,,"415995",7127.34523889,834.005037467774,"13340",Collective spaces,0.70332685407667,0.023730657026867,High,"3",B,Collective spaces_B_3_High,C,Collective spaces_C_3_High,Urban Gardens,Collective spaces_Urban Gardens_C,Collective spaces_3_High_C_Urban Gardens_true,Urban Gardens,63.1424,98.66,"41",1.908,0.397962,Allotment gardens,Urban Gardens,true,
"10677",Urbain diffus,"7","2","4",,,,"415995",7127.34523889,834.005037467774,"13340",Collective spaces,0.11304388469985,0.00381416640250224,High,"3",B,Collective spaces_B_3_High,C,Collective spaces_C_3_High,Urban Gardens,Collective spaces_Urban Gardens_C,Collective spaces_3_High_C_Urban Gardens_true,Urban Gardens,63.8784,99.81,"39",1.882,0.457030,Allotment gardens,Urban Gardens,true,
"10678",Urbain diffus,"7","2","4",,,,"415995",7127.34523889,834.005037467774,"13340",Collective spaces,0.153493546358427,0.00517896150752159,High,"3",B,Collective spaces_B_3_High,C,Collective spaces_C_3_High,Urban Gardens,Collective spaces_Urban Gardens_C,Collective spaces_3_High_C_Urban Gardens_true,Urban Gardens,63.9424,99.91,"41",1.927,0.792964,Allotment gardens,Urban Gardens,true,
"10680",Urbain diffus,"7","2","4",,,,"415995",7127.34523889,834.005037467774,"13340",Collective spaces,0.305331384393491,0.0103020584534521,High,"3",A,Collective spaces_A_3_High,C,Collective spaces_C_3_High,Urban Gardens,Collective spaces_Urban Gardens_C,Collective spaces_3_High_C_Urban Gardens_true,Urban Gardens,58.6112,91.58,"44",1.990,0.496119,Micro-forest,Urban Gardens,true,
"10681",Urbain diffus,"7","2","4",,,,"415995",7127.34523889,834.005037467774,"13340",Collective spaces,0.0967155239712363,0.00326323801690778,High,"3",B,Collective spaces_B_3_High,C,Collective spaces_C_3_High,Urban Gardens,Collective spaces_Urban Gardens_C,Collective spaces_3_High_C_Urban Gardens_true,Urban Gardens,63.9616,99.94,"39",1.883,0.355779,Allotment gardens,Urban Gardens,true,
"10684",Urbain diffus,"7","2","4",,,,"568705",11223.216559295,1423.56434090348,"6335",Collective spaces,0.310435134797322,0.0104742619598048,High,"3",A,Collective spaces_A_3_High,B,Collective spaces_B_3_High,Allotment gardens,Collective spaces_Allotment gardens_B,Collective spaces_3_High_B_Allotment gardens_true,Allotment gardens,51.7184,80.81,"40",1.899,9.453069,Micro-forest,Allotment gardens,true,
"10685",Urbain diffus,"7","2","4",,,,"568705",11223.216559295,1423.56434090348,"6335",Collective spaces,0.13340149426593,0.0045010439867994,High,"3",A,Collective spaces_A_3_High,B,Collective spaces_B_3_High,Allotment gardens,Collective spaces_Allotment gardens_B,Collective spaces_3_High_B_Allotment gardens_true,Allotment gardens,41.3184,64.56,"39",1.881,0.548476,Micro-forest,Allotment gardens,true,
"10688",végétation urbaine,"28","2","4",,,,"579370",2938.03700307,414.698200525439,"6649",Collective spaces,0.193682977160034,0.00653497627210781,High,"3",B,Collective spaces_B_3_High,C,Collective spaces_C_3_High,Urban Gardens,Collective spaces_Urban Gardens_C,Collective spaces_3_High_C_Urban Gardens_true,Urban Gardens,63.7038,98.49,"38",1.857,0.345769,Allotment gardens,Urban Gardens,true,
"10696",Urbain diffus,"7","2","4",,,,"579371",6073.331422315,969.84430086778,"6650",Collective spaces,0.0436050064252773,0.00147125827221689,High,"3",B,Collective spaces_B_3_High,C,Collective spaces_C_3_High,Urban Gardens,Collective spaces_Urban Gardens_C,Collective spaces_3_High_C_Urban Gardens_true,Urban Gardens,63.4432,99.13,"37",1.840,0.272631,Allotment gardens,Urban Gardens,true,
"10698",Urbain diffus,"7","2","4",,,,"579371",6073.331422315,969.84430086778,"6650",Collective spaces,0.672242957982256,0.0226818682979854,High,"3",A,Collective spaces_A_3_High,B,Collective spaces_B_3_High,Allotment gardens,Collective spaces_Allotment gardens_B,Collective spaces_3_High_B_Allotment gardens_true,Allotment gardens,44.6336,69.74,"38",1.841,0.968960,Micro-forest,Allotment gardens,true,
"10699",végétation urbaine,"28","2","4",,,,"583318",3667.360475925,352.788058022417,"6934",Collective spaces,0.219522246351511,0.00740680823963993,High,"3",A,Collective spaces_A_3_High,C,Collective spaces_C_3_High,Urban Gardens,Collective spaces_Urban Gardens_C,Collective spaces_3_High_C_Urban Gardens_true,Urban Gardens,61.152,95.55,"41",1.925,0.361609,Micro-forest,Urban Gardens,true,
"10703",végétation urbaine,"28","2","4",,,,"583323",13081.21008316,1133.04373905403,"6939",Collective spaces,0.703738187905818,0.0237445356694447,High,"3",A,Collective spaces_A_3_High,C,Collective spaces_C_3_High,Urban Gardens,Collective spaces_Urban Gardens_C,Collective spaces_3_High_C_Urban Gardens_true,Urban Gardens,60.512,94.55,"38",1.840,0.277685,Micro-forest,Urban Gardens,true,
"10710",végétation urbaine,"28","2","4",,,,"583330",11585.260597135,1094.02325240727,"6972",Collective spaces,1.47549800973137,0.0497841608205437,High,"3",A,Collective spaces_A_3_High,C,Collective spaces_C_3_High,Urban Gardens,Collective spaces_Urban Gardens_C,Collective spaces_3_High_C_Urban Gardens_true,Urban Gardens,58.4654,90.44,"37",1.791,0.229550,Micro-forest,Urban Gardens,true,
"10712",Urbain diffus,"7","2","4",,,,"415995",7127.34523889,834.005037467774,"13340",Collective spaces,0.107524234609667,0.00362793019889473,High,"3",B,Collective spaces_B_3_High,C,Collective spaces_C_3_High,Urban Gardens,Collective spaces_Urban Gardens_C,Collective spaces_3_High_C_Urban Gardens_true,Urban Gardens,61.536,96.15,"37",1.837,0.215901,Allotment gardens,Urban Gardens,true,
"10716",végétation urbaine,"28","2","4",,,,"582764",3594.67116805,251.720742923209,"7201",Collective spaces,0.19426123731866,0.00655448710610641,High,"3",A,Collective spaces_A_3_High,C,Collective spaces_C_3_High,Urban Gardens,Collective spaces_Urban Gardens_C,Collective spaces_3_High_C_Urban Gardens_true,Urban Gardens,56.4756,88.05,"34",1.766,0.199928,Micro-forest,Urban Gardens,true,
"10719",végétation urbaine,"28","2","4",,,,"579663",6672.937320635,1479.72119691545,"6685",Collective spaces,0.553368092214303,0.018670961203648,High,"3",A,Collective spaces_A_3_High,C,Collective spaces_C_3_High,Urban Gardens,Collective spaces_Urban Gardens_C,Collective spaces_3_High_C_Urban Gardens_true,Urban Gardens,55.0208,85.97,"35",1.776,0.198291,Micro-forest,Urban Gardens,true,
"10720",Urbain diffus,"7","2","4",,,,"415995",7127.34523889,834.005037467774,"13340",Collective spaces,0.0827194255001088,0.00279100151604416,High,"3",B,Collective spaces_B_3_High,C,Collective spaces_C_3_High,Urban Gardens,Collective spaces_Urban Gardens_C,Collective spaces_3_High_C_Urban Gardens_true,Urban Gardens,63.328,98.95,"37",1.838,0.239968,Allotment gardens,Urban Gardens,true,
"10721",Urbain diffus,"7","2","4",,,,"415995",7127.34523889,834.005037467774,"13340",Collective spaces,0.217595839962761,0.00734181016791718,High,"3",A,Collective spaces_A_3_High,C,Collective spaces_C_3_High,Urban Gardens,Collective spaces_Urban Gardens_C,Collective spaces_3_High_C_Urban Gardens_true,Urban Gardens,55.4304,86.61,"35",1.788,0.231252,Micro-forest,Urban Gardens,true,
"10722",Urbain diffus,"7","2","4",,,,"415995",7127.34523889,834.005037467774,"13340",Collective spaces,0.329387997755695,0.0111137425767262,High,"3",A,Collective spaces_A_3_High,C,Collective spaces_C_3_High,Urban Gardens,Collective spaces_Urban Gardens_C,Collective spaces_3_High_C_Urban Gardens_true,Urban Gardens,60.1088,93.92,"34",1.762,0.269687,Micro-forest,Urban Gardens,true,
"10723",Urbain diffus,"7","2","4",,,,"415995",7127.34523889,834.005037467774,"13340",Collective spaces,0.543875903484531,0.01835068923639,High,"3",A,Collective spaces_A_3_High,C,Collective spaces_C_3_High,Urban Gardens,Collective spaces_Urban Gardens_C,Collective spaces_3_High_C_Urban Gardens_true,Urban Gardens,61.184,95.6,"27",1.596,0.343729,Micro-forest,Urban Gardens,true,
"10724",Urbain diffus,"7","2","4",,,,"415995",7127.34523889,834.005037467774,"13340",Collective spaces,0.155538922897015,0.00524797370127858,High,"3",A,Collective spaces_A_3_High,B,Collective spaces_B_3_High,Allotment gardens,Collective spaces_Allotment gardens_B,Collective spaces_3_High_B_Allotment gardens_true,Allotment gardens,40.0896,62.64,"29",1.654,0.257887,Micro-forest,Allotment gardens,true,
"10725",Urbain diffus,"7","2","4",,,,"415995",7127.34523889,834.005037467774,"13340",Collective spaces,0.296753177000301,0.010012624747952,High,"3",A,Collective spaces_A_3_High,C,Collective spaces_C_3_High,Urban Gardens,Collective spaces_Urban Gardens_C,Collective spaces_3_High_C_Urban Gardens_true,Urban Gardens,59.6288,93.17,"27",1.604,0.140876,Micro-forest,Urban Gardens,true,
"10727",Forêts fermées de feuillus,"9","4","6",,,,"200304",3037.34084346,306.313025390978,"3400",Parks and public gardens,0.356692368977705,0.0120350079386957,High,"3",C,Parks and public gardens_C_3_High,C,Parks and public gardens_C_3_High,Urban Gardens,Parks and public gardens_Urban Gardens_C,Parks and public gardens_3_High_C_Urban Gardens_true,Urban Gardens,67.4172,98.67,"29",1.647,0.116568,Urban Gardens,Urban Gardens,true,
"10728",végétation urbaine,"28","2","4",,,,"203211",7114.922243385,1178.80715658178,"3658",Parks and public gardens,0.414286641348983,0.0139782721784054,High,"3",A,Parks and public gardens_A_3_High,C,Parks and public gardens_C_3_High,Urban Gardens,Parks and public gardens_Urban Gardens_C,Parks and public gardens_3_High_C_Urban Gardens_true,Urban Gardens,53.6396,81.29,"28",1.622,0.097472,Micro-forest,Urban Gardens,true,
"10730",végétation urbaine,"28","2","4",,,,"201888",5754.56452796,555.554661082574,"1157",Collective spaces,0.290142660839864,0.00978958208881759,High,"2",A,Collective spaces_A_2_High,B,Collective spaces_B_2_High,Community Supported Agriculture,Collective spaces_Community Supported Agriculture_B,Collective spaces_2_High_B_Community Supported Agriculture_true,Community Supported Agriculture,46.6624,72.91,"11",1.240,0.177422,Friche,Community Supported Agriculture,true,
"10739",Urbain diffus,"7","2","4",,,,"415995",7127.34523889,834.005037467774,"13340",Collective spaces,0.498597847853753,0.0168229813111353,High,"2",A,Collective spaces_A_2_High,C,Collective spaces_C_2_High,Friche,Collective spaces_Wild spaces_C,Collective spaces_2_High_C_Wild spaces_false,Community Supported Agriculture,54.6304,85.36,"9",1.188,0.267860,Friche,Wild spaces,false,Community Supported Agriculture
"10750",Urbain diffus,"7","2","4",,,,"415995",7127.34523889,834.005037467774,"13340",Collective spaces,0.186885316290901,0.00630561924168116,High,"2",A,Collective spaces_A_2_High,B,Collective spaces_B_2_High,Community Supported Agriculture,Collective spaces_Community Supported Agriculture_B,Collective spaces_2_High_B_Community Supported Agriculture_true,Community Supported Agriculture,40.9536,63.99,"6",1.130,0.202997,Friche,Community Supported Agriculture,true,
"10760",Urbain diffus,"7","2","4",,,,"415995",7127.34523889,834.005037467774,"13340",Collective spaces,0.186374556907116,0.006288385923076,High,"2",A,Collective spaces_A_2_High,B,Collective spaces_B_2_High,Community Supported Agriculture,Collective spaces_Community Supported Agriculture_B,Collective spaces_2_High_B_Community Supported Agriculture_true,Community Supported Agriculture,43.4496,67.89,"5",1.108,0.170799,Friche,Community Supported Agriculture,true,
"10770",végétation urbaine,"28","2","4",,,,"201842",2400.696357215,436.031527175439,"918",Collective spaces,0.40752843894024,0.0137502464993766,High,"2",B,Collective spaces_B_2_High,C,Collective spaces_C_2_High,Friche,Collective spaces_Wild spaces_C,Collective spaces_2_High_C_Wild spaces_false,Community Supported Agriculture,62.8544,98.2,"15",1.327,0.251159,Community Supported Agriculture,Wild spaces,false,Community Supported Agriculture
"10771",végétation urbaine,"28","2","4",,,,"202352",2020.471437195,326.833003181084,"1005",Collective spaces,0.338589982635383,0.0114242228973347,High,"3",B,Collective spaces_B_3_High,C,Collective spaces_C_3_High,Urban Gardens,Collective spaces_Urban Gardens_C,Collective spaces_3_High_C_Urban Gardens_true,Urban Gardens,63.5968,99.37,"19",1.421,0.259177,Allotment gardens,Urban Gardens,true,
"10786",végétation urbaine,"28","2","4",,,,"202590",4689.28940805,530.408938734755,"1010",Collective spaces,0.721339621687381,0.0243384182801118,High,"3",A,Collective spaces_A_3_High,B,Collective spaces_B_3_High,Allotment gardens,Collective spaces_Allotment gardens_B,Collective spaces_3_High_B_Allotment gardens_true,Allotment gardens,50.7328,79.27,"19",1.408,0.225953,Micro-forest,Allotment gardens,true,
"10797",Urbain diffus,"7","2","4",,,,"415995",7127.34523889,834.005037467774,"13340",Collective spaces,0.554583521142501,0.0187119704824327,High,"2",A,Collective spaces_A_2_High,A,Collective spaces_A_2_High,Informal Recreational areas,Collective spaces_Informal Recreational areas_A,Collective spaces_2_High_A_Informal Recreational areas_true,Informal Recreational areas,28.1646,43.83,"14",1.299,0.242938,Friche,Informal Recreational areas,true,
"10798",Urbain diffus,"7","2","4",,,,"203183",2635.54326393,211.63003184671,"1627",Collective spaces,0.198680651570767,0.0067036007127724,High,"2",A,Collective spaces_A_2_High,C,Collective spaces_C_2_High,Friche,Collective spaces_Wild spaces_C,Collective spaces_2_High_C_Wild spaces_false,Community Supported Agriculture,55.2448,86.32,"14",1.311,0.735233,Friche,Wild spaces,false,Community Supported Agriculture
"10800",végétation urbaine,"28","2","4",,,,"202879",6604.339660855,897.410971784513,"1273",Collective spaces,0.250356673364991,0.00844717973666951,High,"2",A,Collective spaces_A_2_High,B,Collective spaces_B_2_High,Community Supported Agriculture,Collective spaces_Community Supported Agriculture_B,Collective spaces_2_High_B_Community Supported Agriculture_true,Community Supported Agriculture,49.1776,76.84,"16",1.356,0.254624,Friche,Community Supported Agriculture,true,
"10809",Urbain diffus,"7","2","4",,,,"415995",7127.34523889,834.005037467774,"13340",Collective spaces,0.332570154246896,0.0112211103870989,High,"2",B,Collective spaces_B_2_High,C,Collective spaces_C_2_High,Friche,Collective spaces_Wild spaces_C,Collective spaces_2_High_C_Wild spaces_false,Community Supported Agriculture,63.4432,99.13,"12",1.262,0.231830,Community Supported Agriculture,Wild spaces,false,Community Supported Agriculture
"10815",végétation urbaine,"28","2","4",,,,"384989",9610.40747025,1735.70991498442,"2522",Collective spaces,0.711508201028961,0.0240067004303248,High,"2",B,Collective spaces_B_2_High,C,Collective spaces_C_2_High,Friche,Collective spaces_Wild spaces_C,Collective spaces_2_High_C_Wild spaces_false,Community Supported Agriculture,64.8499,99.91,"13",1.271,0.110989,Community Supported Agriculture,Wild spaces,false,Community Supported Agriculture
"10822",végétation urbaine,"28","2","4",,,,"394833",17277.71045689,2835.92303371441,"8988",Collective spaces,0.155148607948077,0.00523480424794117,High,"3",B,Collective spaces_B_3_High,C,Collective spaces_C_3_High,Urban Gardens,Collective spaces_Urban Gardens_C,Collective spaces_3_High_C_Urban Gardens_true,Urban Gardens,64.7722,98.71,"17",1.381,0.106076,Allotment gardens,Urban Gardens,true,
"10836",végétation urbaine,"28","2","4",,,,"381213",13406.23604099,2003.10943105926,"7569",Collective spaces,0.40050375820452,0.0135132296866439,High,"2",C,Collective spaces_C_2_High,C,Collective spaces_C_2_High,Friche,Collective spaces_Wild spaces_C,Collective spaces_2_High_C_Wild spaces_false,Community Supported Agriculture,66.6816,99.81,"6",1.122,0.362311,Friche,Wild spaces,false,Community Supported Agriculture
"10841",végétation urbaine,"28","2","4",,,,"417156",1913.478771575,336.590320026844,"13486",Collective spaces,0.198937625146654,0.00671227115064773,High,"2",A,Collective spaces_A_2_High,C,Collective spaces_C_2_High,Friche,Collective spaces_Wild spaces_C,Collective spaces_2_High_C_Wild spaces_false,Community Supported Agriculture,57.3376,89.59,"15",1.334,0.534392,Friche,Wild spaces,false,Community Supported Agriculture
"10846",végétation urbaine,"28","2","4",,,,"406473",8650.310617665,1071.30222448228,"12230",Allotment gardens,0.241919388293046,0.00816250083223169,High,"2",A,Allotment gardens_A_2_High,C,Allotment gardens_C_2_High,Friche,Allotment gardens_Wild spaces_C,Allotment gardens_2_High_C_Wild spaces_false,Community Supported Agriculture,59.3504,99.88,"12",1.265,2.154766,Informal Recreational areas,Wild spaces,false,Community Supported Agriculture
"10852",végétation urbaine,"28","2","4",,,,"386293",2088.94664945,473.349712399327,"11652",Collective spaces,0.311589120436296,0.0105131981062831,High,"2",B,Collective spaces_B_2_High,C,Collective spaces_C_2_High,Friche,Collective spaces_Wild spaces_C,Collective spaces_2_High_C_Wild spaces_false,Community Supported Agriculture,62.7852,97.08,"12",1.262,0.170177,Community Supported Agriculture,Wild spaces,false,Community Supported Agriculture
"10862",végétation urbaine,"28","2","4",,,,"405795",7576.321156915,924.695557763703,"12421",Collective spaces,0.515882132725907,0.0174061631331833,High,"2",A,Collective spaces_A_2_High,C,Collective spaces_C_2_High,Friche,Collective spaces_Wild spaces_C,Collective spaces_2_High_C_Wild spaces_false,Community Supported Agriculture,56.704,88.6,"13",1.278,0.375682,Friche,Wild spaces,false,Community Supported Agriculture
"10874",végétation urbaine,"28","2","4",,,,"405519",4284.766892985,816.204914884622,"12420",Collective spaces,0.695164490719608,0.0234552541409507,High,"2",A,Collective spaces_A_2_High,C,Collective spaces_C_2_High,Friche,Collective spaces_Wild spaces_C,Collective spaces_2_High_C_Wild spaces_false,Community Supported Agriculture,57.485,89.15,"13",1.272,0.283138,Friche,Wild spaces,false,Community Supported Agriculture
"10886",végétation urbaine,"28","2","4",,,,"401460",4450.52676184,540.221450373865,"11758",Parks and public gardens,0.181534247779691,0.00612507107857496,High,"2",B,Parks and public gardens_B_2_High,C,Parks and public gardens_C_2_High,Friche,Parks and public gardens_Wild spaces_C,Parks and public gardens_2_High_C_Wild spaces_false,Informal Recreational areas,62.0736,96.98,"13",1.289,0.279739,Community Supported Agriculture,Wild spaces,false,Informal Recreational areas
